REQUEST,INTENT
"Hello, I am looking for a contactor with the following specs: Main contacts: 3-NO 1000VAC operational rating >4A Aux contacts: 1-NO,1NC Coil: preferably 24VDC but 230VAC also acceptable. Let me know if you have a product that suits my requirements.",CatalogSelection
I need to know what 125A main breaker to order for QO112L125PG,CatalogSelection
I need battery backup with extra long power cord,CatalogSelection
"I'm looking for a failover UPS for my sump pump, I dib;t need another sump pump",CatalogSelection
Looking for a recommended product that is NOT backordered,CatalogSelection
"Hi, may I ask if these items are still active? EZC400N4300N EZC100N3125",Product Replacement
LR9F7379 is obsolete? Are there any replacement?,Product Replacement
Alternative for 9001SKR9RH6,Product Replacement
Hello po. LRE483 kindly provide replacement for this po. Thank you!,Product Replacement
"Hello , good afternoon. I would like to ask for the equivalent for this item pls. LC1D186BD",Product Replacement
Good afternoon. Do we have an alternative offer for this item? LAD4T3B,Product Replacement
"HI, may I ask if this item are still active, RM4TR33",Product Replacement
Hi may i ask if what is the substitute of below item PM700MG,Product Replacement
"Hello can you give me replacements for LV429632, LV429634 and LV429631?",Product Replacement
may i request alternative offer for this product LV540640,Product Replacement
hi can you give me an alternate for this contact block from siemens,Product Replacement
"hi sir do we have alternative offer for this product 29378 UA controller, Transferpact, 220 VAC to 240 VAC 50/60Hz",Product Replacement
"Hi, good afternoon, may I ask if this item is still active, 33473E?",Product Replacement
good day DL1CJ0241 may i know the leadtime and vatex price for this product,Product Replacement
"Hi, may i ask if this item is still active EZC250H2150?",Product Replacement
Hi Good Day. Is this item locally offered A9N4P02C? Thank you,Product Replacement
Good morning may i request alternative offer for this product OSMC65H4D20,Product Replacement
"Good day, I would like to inquire what can we offer for F1426UEST2M?",Product Replacement
GIVE ME THE REPLACEMENT FOR THIS ITEM EM6436,Product Replacement
Alternative to 33926,Product Replacement
"hello, can i ask for the alternative of this product LV429630.",Product Replacement
"Hi, may i ask if these items are still active XA2EVM8LV EZALUGO502 LC1D9M7",Product Replacement
"hello, what replacement can you offer for CVS630F3630?",Product Replacement
Alternate offer for K1D004NCH,Product Replacement
"Hi, may I ask if these items are still active, EZC250N4200N XPSUAT13A3AP",Product Replacement
"ALTERNATE OFFER FOR LC1D475, 110v coil",Product Replacement
"Hi team, seeking for your kind assistance please. Customer is looking for a motor starting and provided part# LE1D093A620B7107. but upon checking this part is not sowing up in our system. Do we have a cross for this part?",Product Replacement
Good afternoon! Is RXZE14P still available po? Catalog number not found. Thank you!,Product Replacement
TM2DRA16RT alternate,Product Replacement
"Good Day Maam/Sir, Can I ask what to offer for RM17TG20? Thanks",Product Replacement
"HI, may I ask if these items are still active, 8910DP31V02 8910DPA33V02Y239",Product Replacement
"Hi Team, could you please recommend a replacement for obsolete part LC2-D099H7?",Product Replacement
"Hi Team, Is this a good part ? LD1LB030 LA1-LB015 If no, can you please advise on the replacements ? Thank you",Product Replacement
good day. pa assist po if this item is locally offered ATV71HD45N4 thanks,Product Replacement
LR97D38F7 Hi Good Day! Can we ask for an Alternative/replacement for the above PN. Thanks.,Product Replacement
"Hello, What is a replacement for FA22040AB? This product has been obsoleted.",Product Replacement
request delivery information for this SE 000000000001,OrderStatus
"Hi Team, Could you confirm what the response is for CR-1234567? Kindly confirm with Plant if there is anyway we can stretch earlier and ship by 05/01 at least qty 1 ATV2323232323 (pos2) and qty 1 ATV232323245(pos3). Thanks",OrderStatus
"Hi team, please provide tracking number for PO 000000000002",OrderStatus
Good morning po ask ko po delivery stat po ng xb512s13 under PO 000000000003,OrderStatus
Good Afternoon. Please provide ETA under P.O 000000000004 item code METSECT5CS23d METSECT8912bh. Thank You,OrderStatus
Hello. Please provide us ETA under P.O 12121212. thank you,OrderStatus
Looking for tracking information of  123123123123 PO#: DD12s3456 PART#: SFD212EG412312345,OrderStatus
Follow up ko po delivery G123123123 G12T3F123 G1000F100 under PO#1234,OrderStatus
"Hi Team, I've been monitoring this order since 03-01 and status is still delivery created. Kindly confirm if item already shipped and tracking please. SE Order Ref0000000003/ P.O. Number: DD123123123/ VT2427H23A020 (3).",OrderStatus
Hi Good day. may I ask for the ETA of NW123456h7 - 2pcs under PO 111111 Thank you,OrderStatus
status of delivery under po.#1234555 5pcs lc1-k342m7,OrderStatus
GOod Morning. Please provide us ETA P.O 1234 and lead time for EZC000H4100 Thank You,OrderStatus
PO--123-1234c,OrderStatus
Order # 0010091627 Would like to follow up completion of delivery,OrderStatus
Can you provide tracking for this PO# BB123B45. There is no link on the web,OrderStatus
Delivery Status A9V345678under PO # 1111123,OrderStatus
"Due to not able to access portal, may we ask when is the delivery of order of LRD122?",OrderStatus
Order Status: SE#: 00000003003 PO#: 987987987987 PART#: 9007C52A2 (31),OrderStatus
"Good morning,please provide tracking number for DD8765gbn, as it is not available on the web",OrderStatus
Good Afternoon. Please provide us ETA for EZAASD456GB under P.O 345345. Thank You,OrderStatus
good morning. Please provide us ETA under P.O 22223 for LV432555 LV4298888 Thank you,OrderStatus
Good Afternoon. Please provide us ETA under P.O 66760 BLRCH400A480B44 Thank You,OrderStatus
"Good day, Hello, kindly share the list of items scheduled for delivery today Thanks",OrderStatus
"Hi team, please provide ship date for the ff: part numbers PO MK67867867",OrderStatus
Delivery Date for C25N3TM000 Under PO2234234F567,OrderStatus
Regarding PO-1122-98876,OrderStatus
"Hello, Can you please help me with the status of this order? Order # 056757567567/ PO 3334434, Part S33897",OrderStatus
Good Morning. Please provide us ETA under P.O 676767 Item code BLRC6786787. Thank You,OrderStatus
Good Morning. Please provide us lead time under P.O 777777 item code NW678GH67. Thank You,OrderStatus
"hi, Can you help me to find out Expected delivery of the below order. order-678678768889 Po -78866 Part-LIBSEOPF560",OrderStatus
Regarding PO-111111-89,OrderStatus
"Hi team, please provide ship date for DD06786878. Thanks .",OrderStatus
"23-SPS456456 this was set to ship 3/23 and hasn't, is there an updated ship date?",OrderStatus
SLS567577 please confirm if these parts will ship tomorrow: YBA-56767,OrderStatus
"Hi, may I ask for the leadtime of this item LC6786878",PriceAndAvailability
"Hello, I would like to ask for price for item: ATV3678678F Thank you!",PriceAndAvailability
"Good Afternoon, Please quote, LC6787C LR6768F78",PriceAndAvailability
"Good Afternoon, Please quote, QBA678AS",PriceAndAvailability
FGHJ156SDM Hi Good Day! May we request for the lead time of the above PN. Thanks,PriceAndAvailability
Hi Ccc Good day. Please check availability /leadtime for this item GHJD-DGHJD9 Thanks,PriceAndAvailability
Good day may iknow the vatex price of this product ASD456G79,PriceAndAvailability
Good day may i request the vatex price for this product A9F74228 & A9F84206,PriceAndAvailability
"Hi, may i confirm the lead time of Y678H8KN",PriceAndAvailability
"Good Morning, Please quote, RM22JA31MR",PriceAndAvailability
A678A6S78S Hi Good Day! May we request for the lead time of the above PN. Thanks,PriceAndAvailability
"LC3678678 hi can i have the LP/MPG and lead time on the item above, thank you",PriceAndAvailability
"Hi, may I confirm the lead time of SFR789SJ",PriceAndAvailability
"MasterPact NW Hi, Do we have LP, MPG and Lead time for the above item? Thanks",PriceAndAvailability
"Hi, may i ask for the price and mpg of 1234F5",PriceAndAvailability
LV7678DF Hi Good Day! May we know the availability of the above PN. Thanks,PriceAndAvailability
Availability of ATS678ASGR,PriceAndAvailability
"4678ATYU6S Hi Good Day! May we ask for the LP, MPG and Lead time of the above PN. Thanks",PriceAndAvailability
LR9678G78 Hi Good Day! May we request for the lead time of the above PN. Thanks.,PriceAndAvailability
"HI, may I ask for the lead time of this item, REL5678A",PriceAndAvailability
"HI, may I ask what is the updated stocks po 123456  in your warehouse? Thank you",PriceAndAvailability
A9M678ATR Hi Good Day! May we request for the lead time of the above PN. Thanks,PriceAndAvailability
"Hi team, please provide stock and true leadtime for part VS-1786DFY3. This is for the cx to see if we can meet their deadline.",PriceAndAvailability
lead time of acb nw,PriceAndAvailability
good day may i request leadtime and vatex price of this product AGHJSRV1,PriceAndAvailability
G121678RT Hi Good Day! May we request for the lead time of the above PN. Thanks.,PriceAndAvailability
"XB7EV1678AP XB7E12678DP GV211678D GV1678D Hi Good Day! May we request for the lead time of the above PN,. Thanks.",PriceAndAvailability
NW11678DF Hi Good Day! May we request for the lead time of the above PN. Thanks,PriceAndAvailability
"Hi, may i ask of this item is available in your warehouse, LV16278EA. THank you",PriceAndAvailability
Please provide price and availability 3 units A912567AS,PriceAndAvailability
hello good day may i have the vatex price and lead time of this product LAS6578D,PriceAndAvailability
Looking for availability on ACR12678AS please,PriceAndAvailability
"GV212678A GAYYUIS2 hi can i have the lead time, thank you",PriceAndAvailability
"Sir/Mam, Good Day ! Request for Availability ATS12Y89A",PriceAndAvailability
"Hello Ma'am/Sir, I would like to ask po for the MPG of this item: A12678ASJS41-- Thank you!",PriceAndAvailability
"XS61812678ASHR Hi May we know the LP, MPG and lead time of the above PN. Thank you.",PriceAndAvailability
"HI, may I confirm the lead time of A9A12678AS  A9F712TUAI0 EZ9F51267A0 LT4760M12A",PriceAndAvailability
"Hi, may I ask for the lead time of this item?MVS12678AS The site still loading.",PriceAndAvailability
RXM21278A Hi Good Day! May we request for the lead time of the above PN. Thanks,PriceAndAvailability
"Request for availability & prices . 100pcs - 923Q6783 , 100pcs - 9001KQW6713",PriceAndAvailability
Hello good morning may i know the leadtime of A916712H 8pcs there is a price but availability status unknown thanks,PriceAndAvailability
good day may i know the lead time and vatex price of this product ATV212HD15N4,PriceAndAvailability
Please check stock of the ff items NW20H1678WQE NW32HA678SHRE Thanks,PriceAndAvailability
47353 47363 Hi Good Day! May we ask for the lead time of the above PN. Thanks,PriceAndAvailability
"Hi, may I ask for the lead time of this item, EZC100H2020",PriceAndAvailability
price for ESE1678AHERTZ,PriceAndAvailability
"pls send excel report with list price, discount, availability",PriceAndAvailability
price of xb4-bw34b5 and xb4-bw33b5,PriceAndAvailability
good afternoon po may stocks po ba kayo ng METSEPM8240?,PriceAndAvailability
"Good afternoon, pls quote: Easergy P3U20 protection relay thank you",PriceAndAvailability
hi is there a stock of LC1-12678ARC?,PriceAndAvailability
Good day. Please provide stock on hand and the warehouse from which part numbers below are shipping from. VB-12689AR VB-ASRJT1S,PriceAndAvailability
